keyword,category_type,frequency
ร้าน,atmosphere,1576
ดี,positive,963
รอ,service,925
อร่อย,positive,767
แพง,negative,726
ช้า,negative,680
ราคา,price,637
น้อย,negative,330
ชอบ,positive,326
บรรยากาศ,atmosphere,318
จอดรถ,atmosphere,308
บริการ,service,300
สด,positive,283
โต๊ะ,atmosphere,281
บาท,price,277
ซอย,location,276
ที่จอด,location,264
คิว,service,261
พนักงาน,service,256
แนะนำ,positive,217
นุ่ม,positive,217
เค็ม,negative,209
คุ้ม,positive,200
หอม,positive,176
ร้อน,atmosphere,168
ดิบ,negative,161
ถนน,location,161
ผิดหวัง,negative,149
ที่นั่ง,atmosphere,147
ถูก,price,141
แข็ง,negative,128
จืด,negative,118
สวย,positive,115
รอนาน,negative,107
แย่,negative,90
เร็ว,positive,86
เสิร์ฟ,service,84
แอร์,atmosphere,81
ไม่อร่อย,negative,71
สะอาด,positive,69
เสียง,atmosphere,62
ทางเข้า,location,33
เหม็น,negative,30
ถูกใจ,positive,29
เยี่ยม,positive,28
ต้อนรับ,service,19
ห่วย,negative,16
ห้องน้ำ,atmosphere,15
สกปรก,negative,13
พูดจา,service,12
เลิศ,positive,11
ยุง,atmosphere,8
เช็คบิล,price,7
กระเป๋า,price,6
แผนที่,location,5
แมลงสาบ,negative,3
คนขาย,service,2
bts,location,2
หน้างอ,service,1
